bne.n,vldmia,adds,bx,ldr,ldr.w,vcvt.f64.s32,mov,vadd.f64,umull,cmp,it
adds,vmul.f64,vmov,vmov.f64,subs,mov,vmul.f64,mov,vldrle,subs,vadd.f64,addne
pop,vmul.f64,adds,mov,str,lsrs,vdiv.f64,bge.n,vadd.f64,add.w,bne.n,movs.w
subs,vstmia,vcvt.f64.s32,bl,ldr,orr.w,vadd.f64,adds,vadd.f64,lsrs,vldmdb,it
mov,cmp,vmov,vmov,str,strb.w,beq.n,mov,vadd.f64,orr.w,cmp,addne
cmp,vmul.f64,adds,push,ldr,lsrs,vsub.f64,adc.w,vmla.f64,rsb,vadd.f64,add.w
bne.n,bne.n,vmov,movs,str,ldr.w,vabs.f64,cmp,vadd.f64,umull,bne.n,rsb
adds,vldmia,mov,movt,ldr,orr.w,vcmpe.f64,sbcs.w,vadd.f64,blx,vldmdb,lsl.w
pop,vmul.f64,vmov,bic.w,str,ldr,vmov.f64,mov,vsub.f64,add,cmp,lsr.w
subs,vmul.f64,adds,ubfx,ldr,strb,vmrs,mov,vadd.f64,add,vadd.f64,lsl.w
mov,vstmia,adds,orrs,str,lsrs,bgt.n,mov,vadd.f64,ldr,bne.n,orr.w
cmp,cmp,vmov,lsrs,str,orr.w,vmov,bge.n,vcmp.f64,vmov,vldr,lsr.w
bne.n,vmul.f64,cmp,lsls,str,strb.w,adds,adds,vmrs,movw,vsub.f64,add
adds,bne.n,vdiv.f64,orrs.w,bl,ldr.w,cmp,mov,beq.w,movt,vldr,b.n
pop,vldmia,vcvt.f64.s32,it,push,lsrs,vcvt.f64.s32,adc.w,add.w,vmov.f32,vmov,cmp.w
subs,vmul.f64,vdiv.f64,bne.n,cmp,lsrs,vmul.f64,cmp,add.w,push,ldr,bcc.n
mov,vmul.f64,vcvt.f64.s32,cbnz,sub,lsrs,vdiv.f64,sbcs.w,vpop,sub,movw,cmp.w
cmp,vstmia,vdiv.f64,cmp,ldrh.w,strb.w,vadd.f64,mov,pop,bic.w,movt,bcc.n
bne.n,cmp,vcvt.f64.s32,it,ldrb.w,ldr,beq.n,mov,vadd.f64,cmp,ldr,lsrs
adds,vmul.f64,vdiv.f64,bne.n,bgt.n,ldr.w,vsub.f64,mov,vcmpe.f64,ble.n,add,movs.w
pop,bne.n,vcvt.f64.s32,rsbsne,ldr,strb,vabs.f64,bge.n,vmov.f64,cmp.w,vldr,mov.w
subs,vldmia,vdiv.f64,it,subs,strb.w,vcmpe.f64,adds,vmrs,blt.n,add,add.w
mov,vmul.f64,vcvt.f64.s32,movcc,str,add.w,vmov.f64,mov,vsub.f64,beq.n,mov,mov.w
cmp,vmul.f64,vdiv.f64,b.n,ldr,cmp.w,vmrs,adc.w,vmov.f64,vsub.f32,vadd.f64,cmn.w
bne.n,vstmia,vcvt.f64.s32,pop,str,bne.n,bgt.n,cmp,bmi.n,add,vldr,bcs.w
adds,cmp,vdiv.f64,bx,ldr,uxth,vmov,sbcs.w,vsub.f64,pop,vadd.f64,cmp.w
pop,vmul.f64,vcvt.f64.s32,vmov.f64,str,lsrs,adds,mov,vabs.f64,lsrs,vldr,it
subs,bne.n,vadd.f64,mov,ldr,uxth,cmp,mov,vcmpe.f64,bic.w,ubfx,adcs.w
mov,vldmia,vdiv.f64,bl,str,lsrs,vcvt.f64.s32,mov,vmov.f64,bic.w,sub.w,adceq.w
cmp,vmul.f64,vsub.f64,vmov,ldr,mla,vmul.f64,bge.n,vmrs,vsub.f32,smull,orr.w
bne.n,vmul.f64,vadd.f64,push,str,mov.w,vdiv.f64,adds,ble.n,vmov.f32,asrs,pop
adds,vstmia,vsub.f64,movs,str,mla,vadd.f64,mov,vdiv.f64,blx,ldrd,subs
pop,cmp,vadd.f64,movt,str,ldr.w,beq.n,adc.w,vadd.f64,add,vadd.f64,vmov
subs,vmul.f64,vsub.f64,bic.w,bl,lsrs,vsub.f64,cmp,blx,add,rsb,strd
mov,bne.n,vadd.f64,ubfx,push,uxth,vabs.f64,sbcs.w,add,ldr,bic.w,vadd.f64
cmp,vldr,vsub.f64,orrs,cmp,add.w,vcmpe.f64,mov,add,vmov,add.w,bne.n
bne.n,vldr,beq.n,lsrs,sub,mla,vmov.f64,mov,ldr,movw,add.w,bl
adds,vadd.f64,vsub.f64,lsls,ldrh.w,lsrs,vmrs,mov,vcmp.f64,movt,sub.w,push
pop,vsub.f64,vabs.f64,orrs.w,ldrb.w,uxth,bgt.n,bge.n,push,vmov.f32,vmov,movw
subs,vsub.f64,vcmpe.f64,it,bgt.n,mov.w,vmov,adds,vpush,push,vadd.f64,movt
mov,vstmia,vmov.f64,bne.n,ldr,mov.w,adds,mov,ldr,sub,vldr,movw
cmp,cmp,vmrs,cbnz,subs,mla,cmp,adc.w,vmov.f64,bic.w,vsub.f64,movw
bne.n,vadd.f64,bgt.n,cmp,str,mov.w,vcvt.f64.s32,cmp,vmrs,cmp,vadd.f64,movs
adds,bne.n,vmov,it,ldr,mov,vmul.f64,sbcs.w,add,ble.n,vldr,ldr
pop,vldr,adds,bne.n,str,add.w,vdiv.f64,mov,bls.n,cmp.w,vsub.f64,ldr
subs,vadd.f64,adds,rsbsne,ldr,orr.w,vadd.f64,mov,vmov.f64,blt.n,vadd.f64,uxth
mov,vsub.f64,vmov,it,str,ldr,beq.n,mov,vpop,beq.n,vadd.f64,lsrs
cmp,vsub.f64,adds,movcc,ldr,strb,vsub.f64,bge.n,ldmia.w,vsub.f32,vadd.f64,uxth
bne.n,vstmia,vmov,b.n,str,lsrs,vabs.f64,adds,b.w,add,vadd.f64,lsrs
adds,cmp,adds,pop,ldr,orr.w,vcmpe.f64,mov,vmov,pop,vsub.f64,mla
pop,vadd.f64,vmov,bx,str,strb.w,vmov.f64,adc.w,push,vsub.f32,vsub.f64,mla
subs,bne.n,adds,vabs.f64,str,ldr.w,vmrs,cmp,vpush,vmul.f32,vadd.f64,uxth.w
mov,vldr,vcvt.f64.s32,cmp,str,mov,bgt.n,sbcs.w,vmov.f64,vmov.f32,vsub.f64,lsrs
cmp,vadd.f64,vmov,ble.w,bl,lsrs,vmov,mov,subw,blx,vldmia,add.w
bne.n,vsub.f64,adds,beq.n,push,orr.w,adds,mov,cmp.w,add,vmul.f64,mla
adds,vsub.f64,vmov,cmp,cmp,strb.w,cmp,mov,mov,add,vmul.f64,uxth
pop,vstmia,mov,beq.n,sub,lsrs,vcvt.f64.s32,bge.n,blt.w,ldr,vstmia,lsrs
subs,cmp,vmov,vldr,ldrh.w,ldr.w,vmul.f64,adds,movw,vmov,cmp,mla
mov,vadd.f64,adds,vldr,ldrb.w,orr.w,vdiv.f64,mov,movt,movw,vmul.f64,mov
cmp,bne.n,adds,b.n,bgt.n,ldr,vadd.f64,adc.w,cmp,movt,bne.n,str
bne.n,vldr,vmov,vmov.f64,ldr,strb,beq.n,cmp,it,vmov.f32,vldmia,add.w
adds,vldmdb,cmp,vmov.f64,subs,lsrs,vsub.f64,sbcs.w,bgt.w,push,vmul.f64,orr.w
pop,cmp,vdiv.f64,add,str,orr.w,vabs.f64,mov,movgt,sub,vmul.f64,str
subs,vadd.f64,vcvt.f64.s32,vpop,ldr,strb.w,vcmpe.f64,mov,ldr.w,bic.w,vstmia,mov
mov,bne.n,vdiv.f64,pop,str,ldr.w,vmov.f64,mov,add,cmp,cmp,pop
cmp,vldmdb,vcvt.f64.s32,vldr,ldr,lsrs,vmrs,bge.n,vldr,ble.n,vmul.f64,bl
bne.n,cmp,vdiv.f64,vldr,str,lsrs,bgt.n,adds,vsub.f64,cmp.w,bne.n,orrs.w
adds,vadd.f64,vcvt.f64.s32,bl,ldr,lsrs,vmov,mov,vcmpe.f64,blt.n,vldmia,it
pop,bne.n,vdiv.f64,vabs.f64,str,strb.w,adds,adc.w,vmrs,beq.n,vmul.f64,push
subs,vldmdb,vcvt.f64.s32,vabs.f64,ldr,ldr,cmp,cmp,it,vsub.f32,vmul.f64,moveq.w
mov,cmp,vdiv.f64,vcmpe.f64,str,ldr.w,vcvt.f64.s32,sbcs.w,bmi.n,add,vstmia,b.n
cmp,vadd.f64,vcvt.f64.s32,vmrs,str,strb,vmul.f64,mov,vmovmi.f64,pop,cmp,mov.w
bne.n,bne.n,vdiv.f64,bpl.n,str,strb.w,vdiv.f64,mov,ldr.w,subs,vmul.f64,add.w
adds,vldmdb,vcvt.f64.s32,vdiv.f64,bl,add.w,vadd.f64,mov,add,vdiv.f32,bne.n,movs.w
pop,cmp,vdiv.f64,vmov.f64,push,cmp.w,beq.n,bge.n,vldr,bne.n,vldmia,beq.w
subs,vadd.f64,vcvt.f64.s32,vmov.f64,cmp,bne.n,vsub.f64,adds,vcmpe.f64,vadd.f32,vmul.f64,mov.w
mov,bne.n,vadd.f64,vmov.f64,sub,uxth,vabs.f64,mov,vmrs,add,vmul.f64,movs.w
cmp,vldmdb,vdiv.f64,vmla.f64,ldrh.w,lsrs,vcmpe.f64,adc.w,ble.w,eors,vstmia,it
bne.n,cmp,vsub.f64,vmla.f64,ldrb.w,uxth,vmov.f64,cmp,ubfx,movw,cmp,addne
adds,vadd.f64,vadd.f64,vmls.f64,bgt.n,lsrs,vmrs,sbcs.w,asrs,lsrs,vmul.f64,movs.w
pop,bne.n,vsub.f64,vdiv.f64,ldr,mla,bgt.n,mov,orr.w,movt,bne.n,it
subs,vldmdb,vadd.f64,vdiv.f64,subs,mov.w,bx,mov,subw,rsb,vldmia,addne
mov,cmp,vsub.f64,b.n,str,mla,ldrd,mov,orr.w,eor.w,vmul.f64,add.w
cmp,vadd.f64,vadd.f64,vcmp.f64,ldr,ldr.w,ldrb.w,bge.n,adds,mvns,vmul.f64,rsb
bne.n,bne.n,vsub.f64,vmrs,str,lsrs,adds,movw,ldr.w,add.w,vstmia,lsl.w
adds,vldr,beq.n,bne.n,ldr,uxth,adc.w,movt,vmov,rsb,cmp,lsr.w
pop,vsub.f64,vsub.f64,vcmp.f64,str,add.w,strd,ldrd,add,adds,vmul.f64,lsl.w
subs,vldr,vabs.f64,vmrs,ldr,mla,cmp,movs,vldr,sub.w,bne.n,orr.w
mov,vadd.f64,vcmpe.f64,beq.n,str,lsrs,beq.n,and.w,vcmpe.f64,umull,vldmia,lsr.w
cmp,vldr,vmov.f64,vcmp.f64,ldr,uxth,orrs.w,orrs.w,vmrs,vmul.f32,vmul.f64,add
bne.n,vadd.f64,vmrs,vmrs,str,mov.w,beq.n,beq.n,bgt.w,umull,vmul.f64,b.n
adds,vadd.f64,bgt.n,bne.n,str,mov.w,cmp,add,ldr.w,lsrs,vstmia,cmp.w
pop,vldr,vmov,vsub.f64,str,mla,it,pop,vmov.f64,lsls,cmp,bcc.n
subs,vsub.f64,adds,vcmp.f64,bl,mov.w,cmpeq,ldrd,ldr.w,orr.w,vmul.f64,cmp.w
mov,vldr,adds,vmrs,push,mov,bcc.n,ldrb.w,add,mov.w,bne.n,bcc.n
cmp,vadd.f64,vmov,ite,cmp,add.w,mov,adds,vldr,mov.w,vldr,lsrs
bne.n,vldr,adds,movne,sub,orr.w,blx,adc.w,add,orr.w,vldr,movs.w
adds,vadd.f64,vmov,cmp,ldrh.w,ldr,vmov.f64,strd,ldr.w,vsub.f32,vadd.f64,mov.w
pop,vadd.f64,adds,bne.w,ldrb.w,strb,movs,cmp,vadd.f64,vdiv.f32,vsub.f64,add.w
subs,vsub.f64,vmov,vcmp.f64,bgt.n,lsrs,vldr,beq.n,add.w,vdiv.f32,vsub.f64,mov.w
mov,vadd.f64,adds,vmrs,ldr,orr.w,vmov.f64,orrs.w,vmov,vmov.f32,vstmia,cmn.w
cmp,vadd.f64,vcvt.f64.s32,bne.w,subs,strb.w,vmov.f64,beq.n,add,vadd.f32,cmp,bcs.w
bne.n,vadd.f64,vmov,vsub.f64,str,ldr.w,vmov.f64,cmp,vmov,blx,vadd.f64,cmp.w
adds,vsub.f64,adds,vcmp.f64,ldr,mov,b.n,it,ldr.w,add,bne.n,it
pop,vsub.f64,vmov,vmrs,str,lsrs,vsub.f64,cmpeq,vcvt.f64.s32,add,vldr,adcs.w
subs,vsub.f64,mov,bne.n,ldr,orr.w,vabs.f64,bcc.n,add,ldr,vadd.f64,adceq.w
mov,vcmpe.f64,vmov,vcmp.f64,str,strb.w,vcmpe.f64,mov,vldr,vmov,vsub.f64,orr.w
cmp,vadd.f64,adds,vmrs,ldr,lsrs,vmov.f64,blx,ldr.w,movw,vsub.f64,pop
bne.n,vmrs,adds,bne.n,str,ldr.w,vmrs,push,add,movt,vstmia,subs
adds,vadd.f64,vmov,vsub.f64,ldr,orr.w,bgt.n,sub,vldr,vmov.f32,cmp,vmov
pop,vadd.f64,cmp,vcmp.f64,str,ldr,vmov,movs,ldr.w,push,vadd.f64,strd
subs,it,vdiv.f64,vmrs,str,strb,adds,movs,vstr,sub,bne.n,vadd.f64
mov,ble.n,vcvt.f64.s32,bne.n,str,lsrs,cmp,movs,add,bic.w,vldr,bne.n
cmp,vmovle.f64,vdiv.f64,vsub.f64,bl,orr.w,vcvt.f64.s32,movs,vldr,cmp,vadd.f64,bl
bne.n,vcmpe.f64,vcvt.f64.s32,vcmp.f64,push,strb.w,vmul.f64,adds,ldr.w,ble.n,vsub.f64,push
adds,vmrs,vdiv.f64,vmrs,cmp,ldr.w,vdiv.f64,mov,vmov.f64,cmp.w,vsub.f64,movw
pop,it,vcvt.f64.s32,beq.n,sub,lsrs,vadd.f64,adc.w,vstr,blt.n,vstmia,movt
subs,vnegle.f64,vdiv.f64,vmov.f64,ldrh.w,lsrs,beq.n,cmp,vldr,beq.n,cmp,movw
mov,ble.n,vcvt.f64.s32,vmov.f64,ldrb.w,lsrs,vsub.f64,sbcs.w,add,vsub.f32,vadd.f64,movw
cmp,vcmpe.f64,vdiv.f64,bx,bgt.n,strb.w,vabs.f64,mov,vldr,add,bne.n,movs
bne.n,vmov.f64,vcvt.f64.s32,movs,ldr,ldr,vcmpe.f64,mov,ldr.w,pop,vldr,ldr
adds,vmrs,vdiv.f64,movt,subs,ldr.w,vmov.f64,mov,ldr.w,vadd.f32,vldmdb,ldr
pop,ite,vcvt.f64.s32,movs,str,strb,vmrs,bge.n,add,vmul.f32,cmp,uxth
subs,vsubgt.f64,vdiv.f64,subs,ldr,strb.w,bgt.n,adds,vldr,vadd.f32,vadd.f64,lsrs
mov,vcmpe.f64,vcvt.f64.s32,vmov,str,add.w,vmov,mov,add,bl,bne.n,uxth
cmp,vaddle.f64,vadd.f64,vsub.f64,ldr,cmp.w,adds,adc.w,addw,movw,vldmdb,lsrs
bne.n,vmrs,vdiv.f64,vmov.f64,str,bne.n,cmp,cmp,ubfx,movt,cmp,mla
adds,bgt.n,vsub.f64,vmov.f64,ldr,uxth,vcvt.f64.s32,sbcs.w,sub.w,push,vadd.f64,mla
pop,vmov.f64,vadd.f64,bne.w,str,lsrs,vmul.f64,mov,add.w,movw,bne.n,uxth.w
subs,vcmpe.f64,vsub.f64,vadd.f64,ldr,uxth,vdiv.f64,mov,vldr,ldmia.w,vldmdb,lsrs
mov,vmrs,vadd.f64,vadd.f64,str,lsrs,vadd.f64,mov,vmla.f64,movw,cmp,add.w
cmp,bpl.n,vsub.f64,vmov.f64,str,mla,beq.n,bge.n,add.w,uxth,vadd.f64,mla
bne.n,vadd.f64,vadd.f64,vmov.f64,str,mov.w,vsub.f64,adds,vmov,lsrs,bne.n,uxth
adds,vldr,vsub.f64,bl,bl,mla,vabs.f64,mov,vldr,uxth,vldmdb,lsrs
pop,ldr,beq.n,vmov.f64,push,ldr.w,vcmpe.f64,adc.w,vldr,lsrs,cmp,mla
subs,add,vsub.f64,vpush,cmp,lsrs,vmov.f64,cmp,vmov,mla,vadd.f64,mov
mov,vldr,vabs.f64,vmul.f64,sub,uxth,vmrs,sbcs.w,vcvt.f64.s32,mla,bne.n,str
cmp,ldr,vcmpe.f64,vmul.f64,ldrh.w,add.w,bgt.n,mov,vcmpe.f64,pop,vldmdb,add.w
bne.n,add,vmov.f64,vmul.f64,ldrb.w,mla,vmov,mov,vmrs,str,cmp,orr.w
adds,vldr,vmrs,vmul.f64,bgt.n,lsrs,adds,mov,ubfx,add.w,vadd.f64,str
pop,ldr,bgt.n,vsub.f64,ldr,uxth,cmp,bge.n,sub.w,str,bne.n,mov
subs,add,vmov,vcmp.f64,subs,mov.w,vcvt.f64.s32,adds,vmov,bx,vldmdb,pop
mov,vldr,adds,vadd.f64,str,mov.w,vmul.f64,mov,add.w,vmov.f32,cmp,bl
cmp,vadd.f64,adds,vmrs,ldr,mla,vdiv.f64,adc.w,add.w,vadd.f32,vadd.f64,orrs.w
bne.n,ldr,vmov,bne.n,str,mov.w,vadd.f64,cmp,vldr,vdiv.f32,bne.n,it
adds,add,adds,vcmp.f64,ldr,mov,beq.n,sbcs.w,vstr,mul.w,vldr,push
pop,vldr,vmov,vmrs,str,add.w,vsub.f64,mov,vcvt.f64.s32,bl,vsub.f64,moveq.w
subs,vadd.f64,adds,beq.n,ldr,orr.w,vabs.f64,mov,vldr,movw,vldr,b.n
mov,vmul.f64,vmov,vsub.f64,str,ldr,vcmpe.f64,mov,vldr,movt,vadd.f64,mov.w
cmp,vmul.f64,adds,vcmp.f64,ldr,strb,vmov.f64,bge.n,vldr,push,vldr,add.w
bne.n,vsub.f64,vcvt.f64.s32,vmrs,str,lsrs,vmrs,adds,vmla.f64,movw,vadd.f64,movs.w
adds,vsub.f64,vmov,bne.w,str,orr.w,bgt.n,mov,vldr,ldmia.w,vadd.f64,beq.w
pop,vmov.f64,adds,vcmp.f64,str,strb.w,vmov,adc.w,vmov.f64,movw,vldr,mov.w
subs,vnmls.f64,vmov,vmrs,bl,ldr.w,adds,cmp,vmov.f64,uxth,vsub.f64,movs.w
mov,vmul.f64,mov,bne.w,push,mov,cmp,sbcs.w,vmla.f64,lsrs,vldr,it
cmp,vsub.f64,vmov,vsub.f64,cmp,lsrs,vcvt.f64.s32,mov,vmul.f64,uxth,vadd.f64,addne
bne.n,vsub.f64,adds,vcmp.f64,sub,orr.w,vmul.f64,mov,vmul.f64,lsrs,vldr,movs.w
adds,vmla.f64,adds,vmrs,ldrh.w,strb.w,vdiv.f64,mov,vsub.f64,mla,vadd.f64,it
pop,vmla.f64,vmov,bne.w,ldrb.w,lsrs,vadd.f64,bge.n,vmul.f64,mla,vadd.f64,addne
subs,vadd.f64,cmp,vcmp.f64,bgt.n,ldr.w,beq.n,adds,vmla.f64,pop,vsub.f64,add.w
mov,vadd.f64,vdiv.f64,vmrs,ldr,orr.w,vsub.f64,mov,vmul.f64,str,vadd.f64,rsb
cmp,vadd.f64,vcvt.f64.s32,bne.w,subs,ldr,vabs.f64,adc.w,it,add.w,vadd.f64,lsl.w
bne.n,vmla.f64,vdiv.f64,movs,str,strb,vcmpe.f64,cmp,vmla.f64,str,vadd.f64,lsr.w
adds,vmla.f64,vcvt.f64.s32,vsub.f64,ldr,lsrs,vmov.f64,sbcs.w,vaddmi.f64,bx,vsub.f64,lsl.w
pop,vadd.f64,vdiv.f64,vcmp.f64,str,orr.w,vmrs,mov,vmul.f64,eor.w,vsub.f64,orr.w
subs,vadd.f64,vcvt.f64.s32,vmrs,ldr,strb.w,bgt.n,mov,bmi.n,bl,vsub.f64,lsr.w
mov,vcvt.s32.f64,vdiv.f64,vcmp.f64,str,ldr.w,vmov,mov,vmov.f64,movw,vcmpe.f64,add
cmp,vstr,vcvt.f64.s32,ite,ldr,lsrs,adds,bge.n,vcmpe.f64,movt,vadd.f64,b.n
